city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
mirnyy,75.0,RE,1612639881.0,83.0,-21.3667,55.6167,26.0,1.54
yerbogachen,100.0,NO,1612639882.0,93.0,70.8578,29.0864,-2.93,10.97
aswan,0.0,UY,1612639883.0,51.0,-33.6971,-53.4616,27.77,3.46
zheleznodorozhnyy,35.0,ES,1612639705.0,72.0,42.7762,-9.0603,8.89,1.34
gornyy,98.0,RU,1612639885.0,82.0,58.9564,126.2925,-30.35,0.7
kuche,100.0,CD,1612639886.0,85.0,-4.9667,23.45,23.47,0.68
iquique,0.0,TR,1612639887.0,87.0,39.9078,30.0367,7.0,0.51
broken hill,90.0,SI,1612639888.0,100.0,46.5649,16.4509,6.11,5.14
vanimo,5.0,PF,1612639890.0,72.0,-22.4333,-151.3333,27.17,4.85
nola,99.0,PG,1612639719.0,82.0,-9.0763,143.2092,26.29,5.21
palu,75.0,CA,1612639892.0,87.0,48.9329,-125.5528,8.33,8.75
vanavara,93.0,AU,1612639685.0,37.0,-23.7,133.8833,22.0,3.09
catamayo,22.0,CL,1612639894.0,58.0,-25.4,-70.4833,20.91,2.5
naryan-mar,100.0,RU,1612639895.0,88.0,62.5333,155.8,-22.92,1.19
cedar city,0.0,NP,1612639896.0,55.0,28.2719,83.5898,6.89,2.41
paso de carrasco,1.0,US,1612639833.0,34.0,37.7799,-121.978,17.22,4.12
kavieng,40.0,ES,1612639899.0,63.0,27.9117,-15.5407,17.78,4.12
kartaly,31.0,PE,1612639901.0,64.0,-15.4667,-69.4333,12.69,5.69
mpanda,1.0,US,1612639902.0,66.0,38.421,-121.4238,15.0,2.06
harlingen,75.0,BR,1612639903.0,48.0,2.8197,-60.6733,31.0,5.14
port augusta,0.0,IN,1612639904.0,64.0,27.6333,80.2,11.06,3.39
shache,100.0,RU,1612639628.0,99.0,45.4375,40.5756,-1.97,1.49
saint anthony,58.0,SS,1612639908.0,20.0,9.2333,29.8333,22.26,3.44
saint-paul,90.0,BR,1612639909.0,100.0,-22.9194,-42.8186,21.67,2.57
ballina,2.0,RU,1612639910.0,83.0,63.0494,147.1858,-33.28,0.97
bosaso,98.0,CI,1612639911.0,71.0,5.7856,-6.6083,27.58,2.27
leh,20.0,JM,1612639912.0,66.0,18.451,-78.1736,30.0,5.66
saldanha,40.0,VE,1612639913.0,51.0,7.7669,-72.225,32.0,4.12
varca,75.0,PT,1612639914.0,63.0,33.0833,-16.3333,15.0,7.72
brae,99.0,BG,1612639916.0,97.0,43.75,27.4,6.67,0.45
bilma,49.0,RU,1612639917.0,94.0,66.9672,30.3491,-10.28,3.69
caramay,75.0,CA,1612639918.0,79.0,66.1451,-65.7125,-10.0,2.06
sikasso,0.0,TR,1612639919.0,84.0,36.9559,36.2,15.0,0.58
kyren,0.0,RU,1612639920.0,68.0,56.1667,91.8167,-3.0,5.0
